Y,X,latitude,longitude,zone,planeType,dip,dipAzimuth,strike,declination,unitId,timedate
47.1707339,-88.44489328,47.1707339,-88.44489328, 16T, Bedding,9.15071297,300.7677155,210.7677155,-2.65357494, Jacobsville , Tue Jul 13 15:36:21 2021
47.17072508,-88.44489101,47.17072508,-88.44489101, 16T, Bedding,10.54513359,299.8256684,209.8256684,-2.65357494, Jacobsville , Tue Jul 13 15:36:14 2021
47.17066518,-88.44489711,47.17066518,-88.44489711, 16T, Bedding,9.12650776,338.4737702,248.4737702,-2.65357494, Jacobsville , Tue Jul 13 15:36:00 2021
47.17069067,-88.4449128,47.17069067,-88.4449128, 16T, Bedding,5.89051199,325.0917511,235.0917511,-2.65357494, Jacobsville , Tue Jul 13 15:35:51 2021
47.17065928,-88.44494952,47.17065928,-88.44494952, 16T, Bedding,9,278.6986485,188.6986485,-2.65357494, Jacobsville, Thu Jul 15 12:29:09 2021
47.17068305,-88.44499296,47.17068305,-88.44499296, 16T, Bedding,11,301.6986485,211.6986485,-2.65357494, Jacobsville, Thu Jul 15 12:27:54 2021
47.17064594,-88.44503522,47.17064594,-88.44503522, 16T, Bedding,10,255.6986485,165.6986485,-2.65357494, Jacobsville, Thu Jul 15 12:20:20 2021
47.17064746,-88.44495884,47.17064746,-88.44495884, 16T, Bedding,14,327.6986485,237.6986485,-2.65357494, Jacobsville, Thu Jul 15 12:10:41 2021
47.17065438,-88.4450041,47.17065438,-88.4450041, 16T, Bedding,9,251.6986485,161.6986485,-2.65357494, Jacobsville, Thu Jul 15 12:04:22 2021
47.17069333,-88.44501396,47.17069333,-88.44501396, 16T, Bedding,8,253.6986485,163.6986485,-2.65357494, Jacobsville, Thu Jul 15 12:03:50 2021
47.17073077,-88.44497958,47.17073077,-88.44497958, 16T, Bedding,9,305.6986485,215.6986485,-2.65357494, Jacobsville, Thu Jul 15 12:02:19 2021
47.17073077,-88.44497958,47.17073077,-88.44497958, 16T, Bedding,8,357.6986485,267.6986485,-2.65357494, Jacobsville, Thu Jul 15 12:01:26 2021
47.17067124,-88.4449589,47.17067124,-88.4449589, 16T, Bedding,13,293.1383898,203.1383898,-2.65357494, Jacobsville, Thu Jul 15 11:57:14 2021
47.17067124,-88.4449589,47.17067124,-88.4449589, 16T, Bedding,13,267.1383898,177.1383898,-2.65357494, Jacobsville, Thu Jul 15 11:56:39 2021
47.17065193,-88.44505253,47.17065193,-88.44505253, 16T, Bedding,9,346.1383898,256.1383898,-2.65357494, Jacobsville, Thu Jul 15 11:53:11 2021
47.17071614,-88.44502391,47.17071614,-88.44502391, 16T, Bedding,8,270.1383898,180.1383898,-2.65357494, Jacobsville, Thu Jul 15 11:52:33 2021
47.17074989,-88.44495308,47.17074989,-88.44495308, 16T, Bedding,11,280.1383898,190.1383898,-2.65357494, Jacobsville, Thu Jul 15 11:50:20 2021
47.17077171,-88.44494639,47.17077171,-88.44494639, 16T, Bedding,11,284.1383898,194.1383898,-2.65357494, Jacobsville, Thu Jul 15 11:49:35 2021
