unit,Plat,Plon,dp,dm,A95,Age
JACOBSVILLE SANDSTONE,9,363,3,6,,~1000
FOND DU LAC SANDSTONE,-16,340,,,5,~1000
FREDA SILTSTONE,-0.7,356,,,6,">1041±32 K-Ca,Calcite vein
> K-Ar Bi1062±34; >Rb-Sr 1007±25"
NONESUCH SHALE,-3.2,356,,,3,~1050
LAKE SHORE TRAPS [N POLARITY],-23.1,366,,,4,U-Pb Zr 1087±1.6
PORTAGE LAKE LAVAS [N POLARITY],-26.5,361.2,1.7,2.9,,"U-Pb Zr, Bd 1094.0
±1.5 to 1096.2±1.8*"
NORTH SHORE LAVAS [N POLARITY],-33.3,360.5,2.1,3.3,,"U-Pb Zr 1098.1±0.3
[Mean of 3 ages]"
UPPER OSLER GROUP [R POLARITY],-42.5,381.6,,,3.7,U-Pb Zr 1105±2
"NORTH ABT [RV, SD, +5 STUDIES]**",-10.3,338.6,3.1,5.6,,"U-Pb Ti 981±18
to Ar-Ar Hb 974±13"
PIKES PEAK GRANITE,-6,359,4,8,,"U-Pb Zr 1085± 2.5
Mean K-Ar,Rb-Sr 1020"
SE ABT SECONDARY COMPONENT C,-17.4,348.5,7.5,14.9,,"Ar-Ar 980±35 to
Ar-Ar Mu 962±50"
SE ABT SECONDARY COMPONENT B,5.1,345.5,4.1,7,,"Ar-Ar 980±35 to
Ar-Ar Mu 962±50"
SE ABT CHARACTERISTIC COMPONENT A,21,325.8,5,6.2,,"U-Pb Ti 1050±50
to Ar-Ar Hb 980±35"
