tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	248.8	0.0	9.0	298.5	This study	-78.0			80.6		SO-CMD-NORTH	HF1-0	HF1
	207.2	0.0	9.0	298.5	This study	-9.0			80.05		SO-CMD-NORTH	HF1-1	HF1
	230.6	0.0	9.0	298.5	This study	-81.0			80.23		SO-CMD-NORTH	HF1-2	HF1
	179.8	0.0	9.0	298.5	This study	-71.0			80.24		SO-CMD-NORTH	HF1-3	HF1
	233.8	0.0	9.0	298.5	This study	-77.0			80.25		SO-CMD-NORTH	HF1-4	HF1
	269.8	0.0	9.0	298.5	This study	-46.0			80.72		SO-CMD-NORTH	HF1-5	HF1
	-88.2	0.0	9.0	298.5	This study	-51.0			80.92		SO-CMD-NORTH	HF1-6	HF1
	261.8	0.0	9.0	298.5	This study	-78.0			81.04		SO-CMD-NORTH	HF1-7	HF1
	200.8	0.0	9.0	298.5	This study	-64.0			80.8		SO-CMD-NORTH	HF1-8	HF1
	221.8	0.0	9.0	298.5	This study	-10.0			83.3		SO-CMD-NORTH	HF1-9	HF1
	209.8	0.0	9.0	298.5	This study	-63.0			82.39		SO-CMD-NORTH	HF1-10	HF1
	228.8	0.0	9.0	298.5	This study	-63.0			82.6		SO-CMD-NORTH	HF1-12	HF1
	253.8	0.0	9.0	298.5	This study	-67.0			83.25		SO-CMD-NORTH	HF1-13	HF1
	-74.2	0.0	9.0	298.5	This study	-66.0			83.55		SO-CMD-NORTH	HF1-14	HF1
	256.8	0.0	9.0	298.5	This study	-81.0			83.75		SO-CMD-NORTH	HF1-15	HF1
	-80.2	0.0	9.0	298.5	This study	-50.0			84.2		SO-CMD-NORTH	HF1-16	HF1
	243.8	0.0	9.0	298.5	This study	-37.0			84.2		SO-CMD-NORTH	HF1-17	HF1
	206.8	0.0	9.0	298.5	This study	-30.0			85.65		SO-CMD-NORTH	HF1-19	HF1
	253.8	0.0	9.0	298.5	This study	-64.0			85.8		SO-CMD-NORTH	HF1-20	HF1
	-79.2	0.0	9.0	298.5	This study	-70.0			86.05		SO-CMD-NORTH	HF1-21	HF1
	261.8	0.0	9.0	298.5	This study	-44.0			86.1		SO-CMD-NORTH	HF1-22	HF1
	266.8	0.0	9.0	298.5	This study	-52.0			86.15		SO-CMD-NORTH	HF1-23	HF1
	217.8	0.0	9.0	298.5	This study	-48.0			86.25		SO-CMD-NORTH	HF1-24	HF1
	-63.2	0.0	9.0	298.5	This study	-62.0			87.0		SO-CMD-NORTH	HF1-25	HF1
	187.8	0.0	9.0	298.5	This study	-58.0			87.7		SO-CMD-NORTH	HF1-26	HF1
	262.8	0.0	9.0	298.5	This study	-58.0			88.0		SO-CMD-NORTH	HF1-27	HF1
	218.8	0.0	9.0	298.5	This study	-22.0			88.0		SO-CMD-NORTH	HF1-28	HF1
	-70.2	0.0	9.0	298.5	This study	-61.0			86.9		SO-CMD-NORTH	HF1-29	HF1
	263.8	0.0	9.0	298.5	This study	-74.0			86.95		SO-CMD-NORTH	HF1-30	HF1
	249.8	0.0	9.0	298.5	This study	-64.0			88.82		SO-CMD-NORTH	HF1-31	HF1
	240.8	0.0	9.0	298.5	This study	-64.0			88.85		SO-CMD-NORTH	HF1-32	HF1
	247.8	0.0	9.0	298.5	This study	-70.0			88.92		SO-CMD-NORTH	HF1-33	HF1
