tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
AF1-1a	AF1-1a		This study	LP-NOMAG		
AF1-2a	AF1-2a		This study	LP-NOMAG		
AF1-4a	AF1-4a		This study	LP-NOMAG		
AF1-5a	AF1-5a		This study	LP-NOMAG		
AF1-6a	AF1-6a		This study	LP-NOMAG		
AF1-7a	AF1-7a		This study	LP-NOMAG		
AF1-8a	AF1-8a		This study	LP-NOMAG		
AF1-9a	AF1-9a		This study	LP-NOMAG		
AF1-10a	AF1-10a		This study	LP-NOMAG		
AF1-11a	AF1-11a		This study	LP-NOMAG		
AF1-12a	AF1-12a		This study	LP-NOMAG		
AF1-13a	AF1-13a		This study	LP-NOMAG		
AF1-14a	AF1-14a		This study	LP-NOMAG		
AF1-15a	AF1-15a		This study	LP-NOMAG		
AF1-16a	AF1-16a		This study	LP-NOMAG		
AF1-17a	AF1-17a		This study	LP-NOMAG		
AF1-18a	AF1-18a		This study	LP-NOMAG		
AF1-19a	AF1-19a		This study	LP-NOMAG		
AF1-20a	AF1-20a		This study	LP-NOMAG		
AF1-22a	AF1-22a		This study	LP-NOMAG		
AF1-23a	AF1-23a		This study	LP-NOMAG		
AF1-24a	AF1-24a		This study	LP-NOMAG		
AF1-25a	AF1-25a		This study	LP-NOMAG		
AF1-26a	AF1-26a		This study	LP-NOMAG		
AF1-27a	AF1-27a		This study	LP-NOMAG		
AF1-28a	AF1-28a		This study	LP-NOMAG		
AF2-1a	AF2-1a		This study	LP-NOMAG		
AF2-2a	AF2-2a		This study	LP-NOMAG		
AF2-3a	AF2-3a		This study	LP-NOMAG		
AF2-4a	AF2-4a		This study	LP-NOMAG		
AF2-5a	AF2-5a		This study	LP-NOMAG		
AF2-6a	AF2-6a		This study	LP-NOMAG		
AF2-7a	AF2-7a		This study	LP-NOMAG		
AF2-8a	AF2-8a		This study	LP-NOMAG		
AF2-9a	AF2-9a		This study	LP-NOMAG		
AF2-10a	AF2-10a		This study	LP-NOMAG		
AF2-11a	AF2-11a		This study	LP-NOMAG		
AF2-12a	AF2-12a		This study	LP-NOMAG		
AF2-13a	AF2-13a		This study	LP-NOMAG		
AF2-14a	AF2-14a		This study	LP-NOMAG		
AF2-15a	AF2-15a		This study	LP-NOMAG		
AF2-16a	AF2-16a		This study	LP-NOMAG		
AF2-17a	AF2-17a		This study	LP-NOMAG		
AF2-18a	AF2-18a		This study	LP-NOMAG		
AF2-19a	AF2-19a		This study	LP-NOMAG		
AF2-20a	AF2-20a		This study	LP-NOMAG		
AF2-21a	AF2-21a		This study	LP-NOMAG		
AF2-23a	AF2-23a		This study	LP-NOMAG		
AF2-24a	AF2-24a		This study	LP-NOMAG		
AF2-25a	AF2-25a		This study	LP-NOMAG		
AF2-26a	AF2-26a		This study	LP-NOMAG		
AF2-27a	AF2-27a		This study	LP-NOMAG		
AF2-28a	AF2-28a		This study	LP-NOMAG		
AF2-29a	AF2-29a		This study	LP-NOMAG		
AF2-30a	AF2-30a		This study	LP-NOMAG		
AF2-31a	AF2-31a		This study	LP-NOMAG		
AF2-32a	AF2-32a		This study	LP-NOMAG		
AF2-33a	AF2-33a		This study	LP-NOMAG		
AF2-34a	AF2-34a		This study	LP-NOMAG		
AF2-35a	AF2-35a		This study	LP-NOMAG		
AF2-36a	AF2-36a		This study	LP-NOMAG		
AF2-37a	AF2-37a		This study	LP-NOMAG		
AF2-38a	AF2-38a		This study	LP-NOMAG		
AF2-39a	AF2-39a		This study	LP-NOMAG		
AF2-40a	AF2-40a		This study	LP-NOMAG		
AF2-41a	AF2-41a		This study	LP-NOMAG		
AF2-42a	AF2-42a		This study	LP-NOMAG		
AF2-43a	AF2-43a		This study	LP-NOMAG		
AFC-1a	AFC-1a		This study	LP-NOMAG		
AFC-2a	AFC-2a		This study	LP-NOMAG		
AFC-3a	AFC-3a		This study	LP-NOMAG		
AFC-4a	AFC-4a		This study	LP-NOMAG		
AFC-5a	AFC-5a		This study	LP-NOMAG		
AFC-6a	AFC-6a		This study	LP-NOMAG		
HF1-0	HF1-0		This study	LP-NOMAG		
HF1-1	HF1-1		This study	LP-NOMAG		
HF1-2	HF1-2		This study	LP-NOMAG		
HF1-3	HF1-3		This study	LP-NOMAG		
HF1-4	HF1-4		This study	LP-NOMAG		
HF1-5	HF1-5		This study	LP-NOMAG		
HF1-6	HF1-6		This study	LP-NOMAG		
HF1-7	HF1-7		This study	LP-NOMAG		
HF1-8	HF1-8		This study	LP-NOMAG		
HF1-9	HF1-9		This study	LP-NOMAG		
HF1-10	HF1-10		This study	LP-NOMAG		
HF1-12	HF1-12		This study	LP-NOMAG		
HF1-13	HF1-13		This study	LP-NOMAG		
HF1-14	HF1-14		This study	LP-NOMAG		
HF1-15	HF1-15		This study	LP-NOMAG		
HF1-16	HF1-16		This study	LP-NOMAG		
HF1-17	HF1-17		This study	LP-NOMAG		
HF1-19	HF1-19		This study	LP-NOMAG		
HF1-20	HF1-20		This study	LP-NOMAG		
HF1-21	HF1-21		This study	LP-NOMAG		
HF1-22	HF1-22		This study	LP-NOMAG		
HF1-23	HF1-23		This study	LP-NOMAG		
HF1-24	HF1-24		This study	LP-NOMAG		
HF1-25	HF1-25		This study	LP-NOMAG		
HF1-26	HF1-26		This study	LP-NOMAG		
HF1-27	HF1-27		This study	LP-NOMAG		
HF1-28	HF1-28		This study	LP-NOMAG		
HF1-29	HF1-29		This study	LP-NOMAG		
HF1-30	HF1-30		This study	LP-NOMAG		
HF1-31	HF1-31		This study	LP-NOMAG		
HF1-32	HF1-32		This study	LP-NOMAG		
HF1-33	HF1-33		This study	LP-NOMAG		
HF1-34	HF1-34		This study	LP-NOMAG		
HF1-35	HF1-35		This study	LP-NOMAG		
HF1-36	HF1-36		This study	LP-NOMAG		
HF1-37	HF1-37		This study	LP-NOMAG		
HF1-38	HF1-38		This study	LP-NOMAG		
HF1-39	HF1-39		This study	LP-NOMAG		
HF1-40	HF1-40		This study	LP-NOMAG		
HF1-41	HF1-41		This study	LP-NOMAG		
HF1-42	HF1-42		This study	LP-NOMAG		
HF1-43	HF1-43		This study	LP-NOMAG		
HF1-44	HF1-44		This study	LP-NOMAG		
HF1-45	HF1-45		This study	LP-NOMAG		
HF1-46	HF1-46		This study	LP-NOMAG		
HF1-47	HF1-47		This study	LP-NOMAG		
HF1-48	HF1-48		This study	LP-NOMAG		
HF1-49	HF1-49		This study	LP-NOMAG		
HF1-50	HF1-50		This study	LP-NOMAG		
HF1-52	HF1-52		This study	LP-NOMAG		
HF1-53	HF1-53		This study	LP-NOMAG		
HF1-54	HF1-54		This study	LP-NOMAG		
HF1-55	HF1-55		This study	LP-NOMAG		
HF1-56	HF1-56		This study	LP-NOMAG		
HF1-57	HF1-57		This study	LP-NOMAG		
HF1-58	HF1-58		This study	LP-NOMAG		
HF1-59	HF1-59		This study	LP-NOMAG		
HF1-60	HF1-60		This study	LP-NOMAG		
HF1-61	HF1-61		This study	LP-NOMAG		
HF1-62	HF1-62		This study	LP-NOMAG		
HF1-63	HF1-63		This study	LP-NOMAG		
HF1-64	HF1-64		This study	LP-NOMAG		
HF1-65	HF1-65		This study	LP-NOMAG		
HF1-66	HF1-66		This study	LP-NOMAG		
HF1-67	HF1-67		This study	LP-NOMAG		
HF1-69	HF1-69		This study	LP-NOMAG		
HF1-70	HF1-70		This study	LP-NOMAG		
HF1-71	HF1-71		This study	LP-NOMAG		
HF1-72	HF1-72		This study	LP-NOMAG		
HF1-74	HF1-74		This study	LP-NOMAG		
HF1-76	HF1-76		This study	LP-NOMAG		
HF1-77	HF1-77		This study	LP-NOMAG		
HF1-78	HF1-78		This study	LP-NOMAG		
HF1-79	HF1-79		This study	LP-NOMAG		
HF1-80	HF1-80		This study	LP-NOMAG		
HF1-81	HF1-81		This study	LP-NOMAG		
HF1-82	HF1-82		This study	LP-NOMAG		
HF1-83	HF1-83		This study	LP-NOMAG		
HF1-85	HF1-85		This study	LP-NOMAG		
HF1-86	HF1-86		This study	LP-NOMAG		
HF1-87	HF1-87		This study	LP-NOMAG		
HF1-88	HF1-88		This study	LP-NOMAG		
HF1-89	HF1-89		This study	LP-NOMAG		
HF1-90	HF1-90		This study	LP-NOMAG		
HF1-91	HF1-91		This study	LP-NOMAG		
HF1-94	HF1-94		This study	LP-NOMAG		
HF1-95	HF1-95		This study	LP-NOMAG		
HF1-96	HF1-96		This study	LP-NOMAG		
HF1-97	HF1-97		This study	LP-NOMAG		
HF1-98	HF1-98		This study	LP-NOMAG		
HF1-100	HF1-100		This study	LP-NOMAG		
HF1-101	HF1-101		This study	LP-NOMAG		
HF1-102	HF1-102		This study	LP-NOMAG		
HF1-103	HF1-103		This study	LP-NOMAG		
HF1-104	HF1-104		This study	LP-NOMAG		
HF1-106	HF1-106		This study	LP-NOMAG		
HF1-107	HF1-107		This study	LP-NOMAG		
HF1-108	HF1-108		This study	LP-NOMAG		
HF1-109	HF1-109		This study	LP-NOMAG		
HF1-110	HF1-110		This study	LP-NOMAG		
HF1-111	HF1-111		This study	LP-NOMAG		
HF1-112	HF1-112		This study	LP-NOMAG		
HF1-113	HF1-113		This study	LP-NOMAG		
HF1-114	HF1-114		This study	LP-NOMAG		
HF1-116	HF1-116		This study	LP-NOMAG		
HF1-117	HF1-117		This study	LP-NOMAG		
HF1-118	HF1-118		This study	LP-NOMAG		
HF1-120	HF1-120		This study	LP-NOMAG		
HF1-121	HF1-121		This study	LP-NOMAG		
HF1-122	HF1-122		This study	LP-NOMAG		
HF1-123	HF1-123		This study	LP-NOMAG		
HF1-124	HF1-124		This study	LP-NOMAG		
HF1-125	HF1-125		This study	LP-NOMAG		
HF2-1	HF2-1		This study	LP-NOMAG		
HF2-2	HF2-2		This study	LP-NOMAG		
HF2-3	HF2-3		This study	LP-NOMAG		
HF2-4	HF2-4		This study	LP-NOMAG		
HF2-5	HF2-5		This study	LP-NOMAG		
HF2-6	HF2-6		This study	LP-NOMAG		
HF2-7	HF2-7		This study	LP-NOMAG		
HF3-1	HF3-1		This study	LP-NOMAG		
HF3-2	HF3-2		This study	LP-NOMAG		
HF3-3	HF3-3		This study	LP-NOMAG		
HF3-4	HF3-4		This study	LP-NOMAG		
HF3-5	HF3-5		This study	LP-NOMAG		
HF3-6	HF3-6		This study	LP-NOMAG		
HF3-7	HF3-7		This study	LP-NOMAG		
HF3-8	HF3-8		This study	LP-NOMAG		
HF3-9	HF3-9		This study	LP-NOMAG		
HF4-1	HF4-1		This study	LP-NOMAG		
HF4-2	HF4-2		This study	LP-NOMAG		
HF4-3	HF4-3		This study	LP-NOMAG		
HF4-4	HF4-4		This study	LP-NOMAG		
HF4-5	HF4-5		This study	LP-NOMAG		
HF4-6	HF4-6		This study	LP-NOMAG		
HF4-7	HF4-7		This study	LP-NOMAG		
HF5-1	HF5-1		This study	LP-NOMAG		
HF5-4	HF5-4		This study	LP-NOMAG		
HF5-5	HF5-5		This study	LP-NOMAG		
HF5-7	HF5-7		This study	LP-NOMAG		
HF6-1	HF6-1		This study	LP-NOMAG		
HF6-2	HF6-2		This study	LP-NOMAG		
HF6-3	HF6-3		This study	LP-NOMAG		
HF6-4	HF6-4		This study	LP-NOMAG		
HF6-5	HF6-5		This study	LP-NOMAG		
HF6-6	HF6-6		This study	LP-NOMAG		
HF6-7	HF6-7		This study	LP-NOMAG		
HF6-8	HF6-8		This study	LP-NOMAG		
HF7-1	HF7-1		This study	LP-NOMAG		
HF7-2	HF7-2		This study	LP-NOMAG		
HF7-3	HF7-3		This study	LP-NOMAG		
HF7-4	HF7-4		This study	LP-NOMAG		
HF7-5	HF7-5		This study	LP-NOMAG		
HF7-6	HF7-6		This study	LP-NOMAG		
HF7-7	HF7-7		This study	LP-NOMAG		
HF7-8	HF7-8		This study	LP-NOMAG		
HF7-9	HF7-9		This study	LP-NOMAG		
HF7-10	HF7-10		This study	LP-NOMAG		
HFC-1	HFC-1		This study	LP-NOMAG		
HFC-2	HFC-2		This study	LP-NOMAG		
HFC-3	HFC-3		This study	LP-NOMAG		
HFC-4	HFC-4		This study	LP-NOMAG		
HFC-5	HFC-5		This study	LP-NOMAG		
HFC-6	HFC-6		This study	LP-NOMAG		
HFC-7	HFC-7		This study	LP-NOMAG		
HFC-8	HFC-8		This study	LP-NOMAG		
HFC-9	HFC-9		This study	LP-NOMAG		
HFC-10	HFC-10		This study	LP-NOMAG		
HFC-11	HFC-11		This study	LP-NOMAG		
HFC-12	HFC-12		This study	LP-NOMAG		
