tab	samples
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	265.5	0.0	0.0	90.0	This study	-34.0			5.525		SO-CMD-NORTH	SC1-1	SC1
	-90.4	0.0	0.0	90.0	This study	-29.0			5.52		SO-CMD-NORTH	SC1-2	SC1
	-60.4	0.0	0.0	90.0	This study	-35.0			5.57		SO-CMD-NORTH	SC1-3	SC1
	-78.8	0.0	0.0	90.0	This study	-27.0			5.57		SO-CMD-NORTH	SC1-4	SC1
	-69.4	0.0	0.0	90.0	This study	-33.0			5.57		SO-CMD-NORTH	SC1-5	SC1
	-66.4	0.0	0.0	90.0	This study	-20.0			25.9		SO-CMD-NORTH	SC1-6	SC1
	199.6	0.0	0.0	90.0	This study	-13.0			25.96		SO-CMD-NORTH	SC1-7	SC1
	253.6	0.0	0.0	90.0	This study	-13.0			25.98		SO-CMD-NORTH	SC1-8	SC1
	224.6	0.0	0.0	90.0	This study	-22.0			26.13		SO-CMD-NORTH	SC1-9	SC1
	248.6	0.0	0.0	90.0	This study	-22.0			26.16		SO-CMD-NORTH	SC1-10	SC1
	-19.4	0.0	0.0	90.0	This study	-35.0			26.19		SO-CMD-NORTH	SC1-11	SC1
	87.6	0.0	0.0	90.0	This study	-43.0			66.2		SO-CMD-NORTH	SC1-12	SC1
	61.6	0.0	0.0	90.0	This study	-36.0			66.25		SO-CMD-NORTH	SC1-13	SC1
	64.6	0.0	0.0	90.0	This study	-24.0			66.24		SO-CMD-NORTH	SC1-14	SC1
	56.6	0.0	0.0	90.0	This study	-29.0			66.25		SO-CMD-NORTH	SC1-15	SC1
	83.6	0.0	0.0	90.0	This study	-38.0			66.28		SO-CMD-NORTH	SC1-16	SC1
	65.6	0.0	0.0	90.0	This study	-44.0			66.43		SO-CMD-NORTH	SC1-17	SC1
	80.6	0.0	0.0	90.0	This study	-35.0			66.48		SO-CMD-NORTH	SC1-18	SC1
	55.6	0.0	0.0	90.0	This study	-8.0			66.5		SO-CMD-NORTH	SC1-19	SC1
	68.6	0.0	0.0	90.0	This study	-20.0			66.565		SO-CMD-NORTH	SC1-20	SC1
	91.9	0.0	0.0	90.0	This study	-31.0			66.665		SO-CMD-NORTH	SC1-21	SC1
	96.6	0.0	0.0	90.0	This study	-36.0			55.715		SO-CMD-NORTH	SC1-22	SC1
	89.6	0.0	0.0	90.0	This study	-28.0			67.67		SO-CMD-NORTH	SC1-24	SC1
	147.5	0.0	0.0	90.0	This study	-20.0			67.72		SO-CMD-NORTH	SC1-25	SC1
	149.3	0.0	0.0	90.0	This study	-14.0			667.72		SO-CMD-NORTH	SC1-26	SC1
	139.6	0.0	0.0	90.0	This study	-13.0			67.72		SO-CMD-NORTH	SC1-27	SC1
	87.6	0.0	0.0	90.0	This study	-19.0			68.16		SO-CMD-NORTH	SC1-28	SC1
	114.6	0.0	0.0	90.0	This study	-20.0			68.48		SO-CMD-NORTH	SC1-30	SC1
	120.3	0.0	0.0	90.0	This study	-25.0			68.48		SO-CMD-NORTH	SC1-31	SC1
	260.6	0.0	0.0	90.0	This study	-86.0			87.63		SO-CMD-NORTH	SC1-32	SC1
	263.6	0.0	0.0	90.0	This study	-83.0			87.66		SO-CMD-NORTH	SC1-34	SC1
	261.6	0.0	0.0	90.0	This study	-82.0			87.6		SO-CMD-NORTH	SC1-35	SC1
	252.6	0.0	0.0	90.0	This study	-82.0			87.58		SO-CMD-NORTH	SC1-36	SC1
	252.6	0.0	0.0	90.0	This study	-83.0			87.58		SO-CMD-NORTH	SC1-37	SC1
	255.6	0.0	0.0	90.0	This study	-79.0			87.65		SO-CMD-NORTH	SC1-38	SC1
	247.6	0.0	0.0	90.0	This study	-80.0			87.65		SO-CMD-NORTH	SC1-39	SC1
