tab	specimens
specimen	experiments	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight	location	site
SC1-10a	SC1-10a_LP-DIR-T	SC1-10		lt	195.3	51.1	2	3	0	51.1	5.5	473	273	K		hargrave 2021-03-23 12:34:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-10a	SC1-10a_LP-DIR-T	SC1-10		lt	276.4	59.6	2	3	-1	51.1	5.5	473	273	K		hargrave 2021-03-23 12:34:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-10a	SC1-10a_LP-DIR-T	SC1-10		ht	239.2	-15.7	2	8	0	21.9	19.0	953	933	K		hargrave 2021-03-23 12:34:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-10a	SC1-10a_LP-DIR-T	SC1-10		lt	187.5	-35.2	2	3	100	51.1	5.5	473	273	K		hargrave 2021-03-23 12:34:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-10a	SC1-10a_LP-DIR-T	SC1-10		ht	263.1	-4.3	2	12	100	13.6	15.9	957	913	K		hargrave 2021-03-23 12:34:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-10a		SC1-10																	This study	LP-NOMAG				Keweenaw Peninsula	SC1
SC1-10a	SC1-10a_LP-DIR-T	SC1-10		ht	350.9	6.0	2	8	-1	21.9	19.0	953	933	K		hargrave 2021-03-23 12:34:00	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-11a	SC1-11a_LP-DIR-T	SC1-11		lt	317.1	36.9	2	4	-1	81.8	8.9	573	273	K		hargrave 2021-03-23 12:37:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-11a	SC1-11a_LP-DIR-T	SC1-11		ht	232.6	-52.5	2	9	-1	24.8	19.4	953	933	K		hargrave 2021-03-23 12:37:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-11a	SC1-11a_LP-DIR-T	SC1-11		lt	307.2	9.0	2	4	0	81.8	8.9	573	273	K		hargrave 2021-03-23 12:37:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-11a	SC1-11a_LP-DIR-T	SC1-11		ht	193.1	-26.0	2	9	0	24.8	19.4	953	933	K		hargrave 2021-03-23 12:37:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-11a	SC1-11a_LP-DIR-T	SC1-11		ht	279.1	-35.9	2	9	100	21.9	19.7	949	913	K		hargrave 2021-03-23 12:37:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-11a	SC1-11a_LP-DIR-T	SC1-11		lt	235.5	51.4	2	4	100	81.8	8.9	573	273	K		hargrave 2021-03-23 12:37:15	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-11a		SC1-11																	This study	LP-NOMAG				Keweenaw Peninsula	SC1
SC1-12a	SC1-12a_LP-DIR-T	SC1-12		ht	60.6	-43.6	3	9	-1	30.4	24.7	953	933	K		hargrave 2021-03-23 12:38:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-12a	SC1-12a_LP-DIR-T	SC1-12		lt	145.2	11.0	3	5	-1	62.9	9.6	723	373	K		hargrave 2021-03-23 12:38:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-12a	SC1-12a_LP-DIR-T	SC1-12		mt	92.2	-21.8	3	12	-1	22.4	30.7	913	773	K		hargrave 2021-03-23 12:38:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-12a	SC1-12a_LP-DIR-T	SC1-12		lt	216.9	43.5	3	5	0	62.9	9.6	723	373	K		hargrave 2021-03-23 12:38:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-12a	SC1-12a_LP-DIR-T	SC1-12		mt	194.3	-14.3	3	12	0	22.4	30.7	913	773	K		hargrave 2021-03-23 12:38:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-12a	SC1-12a_LP-DIR-T	SC1-12		ht	196.0	-48.3	3	9	0	30.4	24.7	953	933	K		hargrave 2021-03-23 12:38:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-12a	SC1-12a_LP-DIR-T	SC1-12		lt	200.7	-18.7	3	7	100	57.9	7.2	773	273	K		hargrave 2021-03-23 12:38:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-12a	SC1-12a_LP-DIR-T	SC1-12		ht	290.7	-38.4	3	13	100	14.8	20.5	957	913	K		hargrave 2021-03-23 12:38:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-12a		SC1-12																	This study	LP-NOMAG				Keweenaw Peninsula	SC1
SC1-12a	SC1-12a_LP-DIR-T	SC1-12		mt	216.3	-33.2	3	7	100	56.9	7.1	863	773	K		hargrave 2021-03-23 12:38:37	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-13a	SC1-13a_LP-DIR-T	SC1-13		lt	117.8	2.6	2	3	100	57.4	6.2	473	273	K		hargrave 2021-03-23 12:39:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-13a	SC1-13a_LP-DIR-T	SC1-13		ht	213.7	-23.0	2	9	0	15.2	29.2	953	933	K		hargrave 2021-03-23 12:39:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-13a	SC1-13a_LP-DIR-T	SC1-13		ht	252.2	-30.5	2	13	100	2.2	28.8	957	913	K		hargrave 2021-03-23 12:39:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-13a		SC1-13																	This study	LP-NOMAG				Keweenaw Peninsula	SC1
SC1-13a	SC1-13a_LP-DIR-T	SC1-13		ht	134.9	-52.6	2	9	-1	15.2	29.2	953	933	K		hargrave 2021-03-23 12:39:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-13a	SC1-13a_LP-DIR-T	SC1-13		lt	48.2	67.1	2	5	-1	107.4	5.2	723	373	K		hargrave 2021-03-23 12:39:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-13a	SC1-13a_LP-DIR-T	SC1-13		lt	82.7	36.4	2	5	0	107.4	5.2	723	373	K		hargrave 2021-03-23 12:39:59	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-14a	SC1-14a_LP-DIR-T	SC1-14		lt	294.2	66.7	3	5	-1	163.8	15.7	723	373	K		hargrave 2021-03-23 13:29:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-14a	SC1-14a_LP-DIR-T	SC1-14		lt	29.9	50.6	3	5	0	163.8	15.7	723	373	K		hargrave 2021-03-23 13:29:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-14a	SC1-14a_LP-DIR-T	SC1-14		mt	230.5	-30.2	3	12	0	19.7	17.3	913	773	K		hargrave 2021-03-23 13:29:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-14a	SC1-14a_LP-DIR-T	SC1-14		ht	231.7	-42.9	3	8	0	20.7	29.1	953	933	K		hargrave 2021-03-23 13:29:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-14a	SC1-14a_LP-DIR-T	SC1-14		lt	141.2	48.4	3	3	100	148.1	6.1	473	273	K		hargrave 2021-03-23 13:29:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-14a	SC1-14a_LP-DIR-T	SC1-14		mt	276.3	-20.3	3	7	100	15.5	15.2	883	823	K		hargrave 2021-03-23 13:29:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-14a	SC1-14a_LP-DIR-T	SC1-14		ht	286.2	-20.1	3	10	100	19.0	25.8	957	933	K		hargrave 2021-03-23 13:29:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-14a	SC1-14a_LP-DIR-T	SC1-14		ht	156.4	-65.8	3	8	-1	20.7	29.1	953	933	K		hargrave 2021-03-23 13:29:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-14a	SC1-14a_LP-DIR-T	SC1-14		mt	159.4	-53.2	3	12	-1	19.7	17.3	913	773	K		hargrave 2021-03-23 13:29:03	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-14a		SC1-14																	This study	LP-NOMAG				Keweenaw Peninsula	SC1
SC1-15a	SC1-15a_LP-DIR-T	SC1-15		lt	18.6	56.5	2	5	-1	139.7	15.1	723	373	K		hargrave 2021-03-23 12:42:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-15a	SC1-15a_LP-DIR-T	SC1-15		ht	201.7	-51.8	2	9	-1	25.2	31.8	953	933	K		hargrave 2021-03-23 12:42:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-15a	SC1-15a_LP-DIR-T	SC1-15		lt	68.1	28.4	2	5	0	139.7	15.1	723	373	K		hargrave 2021-03-23 12:42:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-15a		SC1-15																	This study	LP-NOMAG				Keweenaw Peninsula	SC1
SC1-15a	SC1-15a_LP-DIR-T	SC1-15		ht	251.1	-24.1	2	9	0	25.2	31.8	953	933	K		hargrave 2021-03-23 12:42:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-15a	SC1-15a_LP-DIR-T	SC1-15		lt	107.4	18.6	2	3	100	145.0	0.3	473	273	K		hargrave 2021-03-23 12:42:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-15a	SC1-15a_LP-DIR-T	SC1-15		ht	264.5	-13.1	2	12	100	14.7	25.5	957	923	K		hargrave 2021-03-23 12:42:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-16a		SC1-16																	This study	LP-NOMAG				Keweenaw Peninsula	SC1
SC1-16a	SC1-16a_LP-DIR-T	SC1-16		lt	232.9	52.6	3	3	-1	126.0	2.5	473	273	K		hargrave 2021-03-23 12:44:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-16a	SC1-16a_LP-DIR-T	SC1-16		mt	107.1	-50.5	3	11	-1	12.5	9.8	913	773	K		hargrave 2021-03-23 12:44:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-16a	SC1-16a_LP-DIR-T	SC1-16		lt	16.0	58.4	3	3	0	126.0	2.5	473	273	K		hargrave 2021-03-23 12:44:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-16a	SC1-16a_LP-DIR-T	SC1-16		ht	80.8	-46.2	3	9	-1	23.5	34.6	953	933	K		hargrave 2021-03-23 12:44:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-16a	SC1-16a_LP-DIR-T	SC1-16		ht	201.1	-39.6	3	9	0	23.5	34.6	953	933	K		hargrave 2021-03-23 12:44:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-16a	SC1-16a_LP-DIR-T	SC1-16		lt	134.0	32.4	3	3	100	126.0	2.5	473	273	K		hargrave 2021-03-23 12:44:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-16a	SC1-16a_LP-DIR-T	SC1-16		mt	280.5	-28.7	3	10	100	15.5	8.5	903	773	K		hargrave 2021-03-23 12:44:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-16a	SC1-16a_LP-DIR-T	SC1-16		ht	285.4	-41.0	3	10	100	18.2	32.2	953	923	K		hargrave 2021-03-23 12:44:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-16a	SC1-16a_LP-DIR-T	SC1-16		mt	219.3	-29.6	3	11	0	12.5	9.8	913	773	K		hargrave 2021-03-23 12:44:24	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-17a	SC1-17a_LP-DIR-T	SC1-17		ht	283.0	-33.3	3	13	100	6.4	9.6	959	923	K		hargrave 2021-03-23 12:46:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-17a	SC1-17a_LP-DIR-T	SC1-17		ht	209.4	-37.2	3	9	0	8.5	13.7	953	933	K		hargrave 2021-03-23 12:46:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-17a		SC1-17																	This study	LP-NOMAG				Keweenaw Peninsula	SC1
SC1-17a	SC1-17a_LP-DIR-T	SC1-17		lt	218.6	40.7	3	5	-1	128.6	6.9	723	373	K		hargrave 2021-03-23 12:46:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-17a	SC1-17a_LP-DIR-T	SC1-17		mt	144.4	-67.1	3	12	-1	12.4	8.6	913	773	K		hargrave 2021-03-23 12:46:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-17a	SC1-17a_LP-DIR-T	SC1-17		ht	95.1	-61.9	3	9	-1	8.5	13.7	953	933	K		hargrave 2021-03-23 12:46:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-17a	SC1-17a_LP-DIR-T	SC1-17		lt	338.9	61.7	3	5	0	128.6	6.9	723	373	K		hargrave 2021-03-23 12:46:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-17a	SC1-17a_LP-DIR-T	SC1-17		mt	274.9	-17.4	3	10	100	12.3	7.7	913	823	K		hargrave 2021-03-23 12:46:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-17a	SC1-17a_LP-DIR-T	SC1-17		mt	231.0	-26.3	3	12	0	12.4	8.6	913	773	K		hargrave 2021-03-23 12:46:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-17a	SC1-17a_LP-DIR-T	SC1-17		lt	158.9	41.2	3	3	100	125.3	2.8	573	373	K		hargrave 2021-03-23 12:46:10	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
SC1-18a	SC1-18a_LP-DIR-T	SC1-18		lt	264.2	68.7	3	5	-1	88.2	8.8	723	373	K		hargrave 2021-03-23 12:47:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-18a	SC1-18a_LP-DIR-T	SC1-18		mt	142.9	-33.9	3	12	-1	22.9	13.1	913	773	K		hargrave 2021-03-23 12:47:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-18a	SC1-18a_LP-DIR-T	SC1-18		ht	143.4	3.0	3	10	-1	8.8	21.9	957	940	K		hargrave 2021-03-23 12:47:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g			Keweenaw Peninsula	SC1
SC1-18a	SC1-18a_LP-DIR-T	SC1-18		lt	45.0	51.7	3	5	0	88.2	8.8	723	373	K		hargrave 2021-03-23 12:47:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-18a	SC1-18a_LP-DIR-T	SC1-18		mt	230.4	-4.4	3	12	0	22.9	13.1	913	773	K		hargrave 2021-03-23 12:47:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-18a	SC1-18a_LP-DIR-T	SC1-18		ht	217.0	30.2	3	10	0	8.8	21.9	957	940	K		hargrave 2021-03-23 12:47:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g			Keweenaw Peninsula	SC1
SC1-18a		SC1-18																	This study	LP-NOMAG				Keweenaw Peninsula	SC1
SC1-18a	SC1-18a_LP-DIR-T	SC1-18		lt	120.8	21.4	3	5	100	75.0	6.9	673	273	K		hargrave 2021-03-23 12:47:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g			Keweenaw Peninsula	SC1
