tab	samples												
analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	citations	dip	geologic_classes	geologic_types	height	lithologies	method_codes	sample	site
	248.7	0	0	90	This study	-70			0		SO-CMD-NORTH	AF1-1	AF1
	250.6	0	0	90	This study	-78			0		SO-CMD-NORTH	AF1-2	AF1
	-82.4	0	0	90	This study	-84			0		SO-CMD-NORTH	AF1-4	AF1
	-86.4	0	0	90	This study	-80			0		SO-CMD-NORTH	AF1-5	AF1
	244.6	0	0	90	This study	-76			0		SO-CMD-NORTH	AF1-6	AF1
	244.6	0	0	90	This study	-73			0		SO-CMD-NORTH	AF1-7	AF1
	241.5	0	0	90	This study	-71			0		SO-CMD-NORTH	AF1-8	AF1
	244.6	0	0	90	This study	-76			0		SO-CMD-NORTH	AF1-9	AF1
	244.6	0	0	90	This study	-74			0		SO-CMD-NORTH	AF1-10	AF1
	239.6	0	0	90	This study	-69			0		SO-CMD-NORTH	AF1-11	AF1
	237.6	0	0	90	This study	-79			0		SO-CMD-NORTH	AF1-12	AF1
	224.6	0	0	90	This study	-79			0		SO-CMD-NORTH	AF1-13	AF1
	240.6	0	0	90	This study	-82			0		SO-CMD-NORTH	AF1-14	AF1
	259.6	0	0	90	This study	-50			0		SO-CMD-NORTH	AF1-15	AF1
	266.6	0	0	90	This study	-75			0		SO-CMD-NORTH	AF1-16	AF1
	233.6	0	0	90	This study	-57			0		SO-CMD-NORTH	AF1-17	AF1
	226.6	0	0	90	This study	-70			0		SO-CMD-NORTH	AF1-18	AF1
	256.6	0	0	90	This study	-80			0		SO-CMD-NORTH	AF1-19	AF1
	241.6	0	0	90	This study	-73			0		SO-CMD-NORTH	AF1-20	AF1
	177.6	0	0	90	This study	0			0		SO-CMD-NORTH	AF1-22	AF1
	205.6	0	0	90	This study	-55			0		SO-CMD-NORTH	AF1-23	AF1
	209.6	0	0	90	This study	-51			0		SO-CMD-NORTH	AF1-24	AF1
	229.6	0	0	90	This study	-68			0		SO-CMD-NORTH	AF1-25	AF1
	232.6	0	0	90	This study	-64			0		SO-CMD-NORTH	AF1-26	AF1
	236.6	0	0	90	This study	-74			0		SO-CMD-NORTH	AF1-27	AF1
	234.6	0	0	90	This study	-64			0		SO-CMD-NORTH	AF1-28	AF1
	248.7	0	1	322	This study	-70			0		SO-CMD-NORTH	AF1-1	AF1
	250.6	0	1	322	This study	-78			0		SO-CMD-NORTH	AF1-2	AF1
	-82.4	0	1	322	This study	-84			0		SO-CMD-NORTH	AF1-4	AF1
	-86.4	0	1	322	This study	-80			0		SO-CMD-NORTH	AF1-5	AF1
	244.6	0	1	322	This study	-76			0		SO-CMD-NORTH	AF1-6	AF1
	244.6	0	1	322	This study	-73			0		SO-CMD-NORTH	AF1-7	AF1
	241.5	0	1	322	This study	-71			0		SO-CMD-NORTH	AF1-8	AF1
	244.6	0	1	322	This study	-76			0		SO-CMD-NORTH	AF1-9	AF1
	244.6	0	1	322	This study	-74			0		SO-CMD-NORTH	AF1-10	AF1
	239.6	0	1	322	This study	-69			0		SO-CMD-NORTH	AF1-11	AF1
