tab	sites
site	location	samples	specimens	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	software_packages	citations	method_codes	result_quality	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AF1-10a	Keweenaw Peninsula	AF1-10a	AF1-10a	992.0	985.0	Ma		hdt	277.1	-10.8		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  182.4 	   92.4 	    0.8 	  172.9 
AF1-10a	Keweenaw Peninsula	AF1-10a	AF1-10a	992.0	985.0	Ma		hdt	276.9	-11.4		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  182.7 	   92.7 	    0.4 	  172.8 
AF1-11a	Keweenaw Peninsula	AF1-11a	AF1-11a	992.0	985.0	Ma		hdt	276.6	-9.0		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  181.7 	   91.7 	    1.1 	  173.9 
AF1-11a	Keweenaw Peninsula	AF1-11a	AF1-11a	992.0	985.0	Ma		hdt	276.5	-9.6		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  181.9 	   91.9 	    0.8 	  173.7 
AF1-12a	Keweenaw Peninsula	AF1-12a	AF1-12a	992.0	985.0	Ma		hdt	288.7	-12.4		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  183.2 	   93.2 	    7.8 	  163.7 
AF1-12a	Keweenaw Peninsula	AF1-12a	AF1-12a	992.0	985.0	Ma		hdt	288.6	-13.1		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  183.6 	   93.6 	    7.5 	  163.5 
AF1-13a	Keweenaw Peninsula	AF1-13a	AF1-13a	992.0	985.0	Ma		hct	73.9	10.0		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  182.1 	   92.1 	   14.6 	   10.3 
AF1-13a	Keweenaw Peninsula	AF1-13a	AF1-13a	992.0	985.0	Ma		hdt	285.7	-16.1		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  185.4 	   95.5 	    4.4 	  164.7 
AF1-13a	Keweenaw Peninsula	AF1-13a	AF1-13a	992.0	985.0	Ma		hct	73.8	10.2		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  182.2 	   92.2 	   14.7 	   10.3 
AF1-13a	Keweenaw Peninsula	AF1-13a	AF1-13a	992.0	985.0	Ma		hdt	285.5	-16.7		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  185.8 	   95.9 	    4.0 	  164.6 
AF1-14a	Keweenaw Peninsula	AF1-14a	AF1-14a	992.0	985.0	Ma		hct	94.3	28.2		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  197.3 	  108.1 	    8.1 	  348.4 
AF1-14a	Keweenaw Peninsula	AF1-14a	AF1-14a	992.0	985.0	Ma		hdt	282.5	-1.7		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  180.1 	   90.1 	    7.8 	  172.0 
AF1-14a	Keweenaw Peninsula	AF1-14a	AF1-14a	992.0	985.0	Ma		hct	94.7	27.6		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  196.5 	  107.3 	    7.6 	  348.4 
AF1-14a	Keweenaw Peninsula	AF1-14a	AF1-14a	992.0	985.0	Ma		hdt	282.6	-1.0		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  180.0 	   90.0 	    8.1 	  172.1 
AF1-15a	Keweenaw Peninsula	AF1-15a	AF1-15a	992.0	985.0	Ma		hct	85.9	22.5		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4	g	  190.8 	  101.1 	   11.3 	  356.8 
AF1-15a	Keweenaw Peninsula	AF1-15a	AF1-15a	992.0	985.0	Ma		hdt	82.4	20.2		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  188.6 	   98.8 	   12.8 	    0.2 
AF1-15a	Keweenaw Peninsula	AF1-15a	AF1-15a	992.0	985.0	Ma		hct	85.5	22.9		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  191.2 	  101.5 	   11.8 	  356.9 
AF1-15a	Keweenaw Peninsula	AF1-15a	AF1-15a	992.0	985.0	Ma		hdt	82.0	20.6		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  189.0 	   99.2 	   13.2 	    0.3 
AF1-16a	Keweenaw Peninsula	AF1-16a	AF1-16a	992.0	985.0	Ma		hdt	276.7	27.2		1.0	1	1	0	t		0	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-GEO:LP-DC4	g	  196.0 	  106.7 	   15.0 	  186.9 
AF1-16a	Keweenaw Peninsula	AF1-16a	AF1-16a	992.0	985.0	Ma		hdt	277.1	26.6		1.0	1	1	0	t		100	47.3	-88.2	Sedimentary	Sediment Layer	Siltstone:Sandstone		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL-A:DA-DIR-TILT:LP-DC4:DA-DIR-GEO	g	  195.3 	  105.9 	   15.1 	  186.3 
