,site_info,,,,,,,,,,,,,,,,,,,,,
site_id,JK2-,,,,,,,,,,,,,,,,,,,,,
site_name,Hammell Creek 2,,,,,,,,,,,,,,,,,,,,,
site_lat,47.203176,(ºN),,,,,,,,,,,,,,,,,,,,
site_long,-88.411931,(ºE),,,,,,Sun Compass Information,,,,,,,,,Calculated Fields,,,,,
site_elevation,217.70425,,,,,,,,,,,,,,,,,,,,,
sample_name,comment,strat_level,magnetic_core_strike,core_dip,bedding_strike,bedding_dip,correct_bedding_using_local_dec,shadow_angle,GMT_offset,year,month,days,hours,minutes,mass,runs,sun_core_strike,calculated_IGRF,IGRF_local_dec,calculated_mag_dec,core_strike,corrected_bedding_strike
1a,mag compass orientation (IGRF corrected),30.6,251,22.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,15.0,55.0,1.0,nan,nan,[355.77795850568964; 72.81104981732229; 55694.28248499888],-4.222041494310361,insufficient data,246.8,nan
2a,mag compass orientation (IGRF corrected),30.6,176,7.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,16.0,0.0,1.0,nan,nan,[355.7779584512633; 72.8110490595902; 55694.28157838793],-4.222041548736684,insufficient data,171.8,nan
3a,mag compass orientation (IGRF corrected),30.6,189,5.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,16.0,10.0,1.0,nan,nan,[355.77795834241067; 72.81104754412593; 55694.279765166044],-4.22204165758933,insufficient data,184.8,nan
4a,mag compass orientation (IGRF corrected),30.6,293,37.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,16.0,15.0,1.0,nan,nan,[355.77795828798435; 72.81104678639382; 55694.27885855515],-4.222041712015653,insufficient data,288.8,nan
5a,mag compass orientation (IGRF corrected),30.6,294,36.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,16.0,20.0,1.0,nan,nan,[355.7779582335581; 72.8110460286616; 55694.27795194427],-4.222041766441919,insufficient data,289.8,nan
6a,mag compass orientation (IGRF corrected),30.6,163,6.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,16.0,28.0,1.0,nan,nan,[355.77795814647595; 72.81104481629005; 55694.27650136683],-4.222041853524047,insufficient data,158.8,nan
7a,mag compass orientation (IGRF corrected),30.6,410,7.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,16.0,32.0,1.0,nan,nan,[355.7779581029349; 72.81104421010424; 55694.27577607811],-4.222041897065083,insufficient data,405.8,nan
8a,mag compass orientation (IGRF corrected),30.6,179,8.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,16.0,40.0,1.0,nan,nan,[355.77795801585285; 72.8110429977326; 55694.27432550073],-4.222041984147154,insufficient data,174.8,nan
9a,mag compass orientation (IGRF corrected),30.6,98,2.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,16.0,48.0,1.0,nan,nan,[355.7779579287707; 72.81104178536087; 55694.27287492336],-4.222042071229282,insufficient data,93.8,nan
10a,mag compass orientation (IGRF corrected),30.6,154,4.0,156.0,7.0,no,nan,-4.0,2020.0,7.0,25.0,16.0,53.0,1.0,nan,nan,[355.77795787434445; 72.81104102762855; 55694.27196831252],-4.222042125655548,insufficient data,149.8,nan
